Relaxed,Stress,Happy,Sad,Mean,session duration,session length,delete,special character,emotion
1.0,0.0,0.0,0.0,1.036320610687023,135.758,131,27.48091603053436,18.32061068702289,0.0
1.0,0.0,0.0,0.0,2.281520547945205,333.102,146,10.273972602739724,14.38356164383562,0.0
1.0,0.0,0.0,0.0,1.3389183673469387,65.607,49,10.20408163265306,24.48979591836735,0.0
1.0,0.0,0.0,0.0,0.6689166666666667,8.027000000000001,12,50.0,0.0,0.0
1.0,0.0,0.0,0.0,1.5047543859649124,85.771,57,29.82456140350877,3.5087719298245617,0.0
1.0,0.0,0.0,0.0,0.613578947368421,11.658,19,5.263157894736842,10.526315789473683,0.0
1.0,0.0,0.0,0.0,2.262861111111111,81.463,36,22.22222222222222,2.7777777777777857,0.0
1.0,0.0,0.0,0.0,2.743470588235294,46.639,17,11.76470588235294,11.764705882352942,0.0
1.0,0.0,0.0,0.0,0.1905714285714285,1.334,7,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.4971666666666667,26.847,54,20.37037037037037,27.777777777777786,0.0
1.0,0.0,0.0,0.0,0.3196,1.598,5,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.7068428324697755,1637.048,2316,26.899827288428323,17.400690846286707,0.0
1.0,0.0,0.0,0.0,1.0449116465863453,520.366,498,20.080321285140563,18.47389558232932,0.0
1.0,0.0,0.0,0.0,0.7094197530864198,114.926,162,16.666666666666664,17.90123456790124,0.0
1.0,0.0,0.0,0.0,0.992511111111111,89.326,90,15.555555555555555,17.777777777777786,0.0
1.0,0.0,0.0,0.0,1.0656608695652174,122.551,115,28.695652173913043,17.391304347826093,0.0
1.0,0.0,0.0,0.0,0.7741104294478527,126.18,163,12.269938650306749,19.018404907975462,0.0
1.0,0.0,0.0,0.0,0.7146153846153845,9.29,13,23.07692307692308,7.692307692307693,0.0
0.0,1.0,0.0,0.0,0.4928,12.32,25,0.0,24.0,1.0
0.0,1.0,0.0,0.0,1.1706521739130435,53.85,46,19.565217391304348,8.695652173913047,1.0
1.0,0.0,0.0,0.0,0.1359333333333333,2.039,15,100.0,0.0,0.0
